,start_date,end_date,inflation_rate,gdp_growth_rate
0,2018-01-01,2018-03-31,5.77,3.51
1,2018-04-01,2018-06-30,1.17,2.15
2,2018-07-01,2018-09-30,1.56,1.82
3,2018-10-01,2018-12-31,2.78,2.43
4,2019-01-01,2019-03-31,6.91,3.44
5,2019-04-01,2019-06-30,3.84,3.48
6,2019-07-01,2019-09-30,7.71,1.35
7,2019-10-01,2019-12-31,2.71,1.79
8,2020-01-01,2020-03-31,4.4,1.36
9,2020-04-01,2020-06-30,4.69,1.23
10,2020-07-01,2020-09-30,1.43,2.4
11,2020-10-01,2020-12-31,3.1,2.7
12,2021-01-01,2021-03-31,2.57,1.18
13,2021-04-01,2021-06-30,0.76,3.63
14,2021-07-01,2021-09-30,7.19,1.04
15,2021-10-01,2021-12-31,7.32,1.73
16,2022-01-01,2022-03-31,6.76,2.72
17,2022-04-01,2022-06-30,6.8,3.49
18,2022-07-01,2022-09-30,5.6,3.31
19,2022-10-01,2022-12-31,4.4,1.05
20,2023-01-01,2023-01-03,5.49,3.44
