client_id,company_size,industry,location
4280387012,Large,Finance Lending,Mumbai
2095513148,Small,Finance Lending,Chennai
7225516707,Medium,Finance Lending,New Delhi
8093537819,Large,Block Chain,Mumbai
4387541014,Medium,Hyper Local,Banglore
5698091148,Large,Block Chain,Banglore
8884551090,Large,AI,Hyderabad
9598980006,Medium,AI,New Delhi
7207890733,Large,Block Chain,Hyderabad
5059906722,Small,AI,Banglore
9166568761,Small,Finance Lending,Hyderabad
1131383004,Large,Finance Lending,Banglore
9699223737,Small,Block Chain,Mumbai
3325348894,Small,Hyper Local,Banglore
9714663815,Small,AI,New Delhi
6296057401,Small,Finance Lending,Chennai
5387264885,Small,Block Chain,New Delhi
3758633299,Large,Gaming,Banglore
8988409533,Small,Hyper Local,Mumbai
3878940490,Medium,Hyper Local,Banglore
6597925149,Medium,AI,Hyderabad
9085185732,Large,Block Chain,Mumbai
7465144773,Large,Block Chain,Mumbai
5443254615,Medium,Gaming,New Delhi
8719792472,Medium,Hyper Local,Hyderabad
6038028440,Medium,Gaming,Chennai
2609337231,Medium,Block Chain,Hyderabad
3183675157,Small,Gaming,Chennai
4343385571,Medium,Gaming,Chennai
6983985081,Small,Block Chain,New Delhi
5421990790,Large,Finance Lending,New Delhi
5481743788,Large,Block Chain,Banglore
1731644238,Medium,Finance Lending,Hyderabad
3157098196,Small,AI,Banglore
5217987067,Large,Finance Lending,Chennai
4309371709,Large,Hyper Local,Hyderabad
6292156167,Small,Block Chain,Mumbai
7501599785,Medium,Gaming,Chennai
7776577102,Small,AI,Banglore
5319487809,Medium,Block Chain,Mumbai
4475229416,Small,Finance Lending,Chennai
3411013676,Medium,Block Chain,Hyderabad
5536015034,Small,Gaming,New Delhi
9031632460,Small,Block Chain,Hyderabad
7462725203,Medium,Hyper Local,Banglore
6827368515,Small,Block Chain,Chennai
2486393352,Large,Gaming,Chennai
7925430606,Large,Block Chain,New Delhi
3510240337,Medium,Finance Lending,Banglore
4698004907,Small,Hyper Local,Banglore
2096479553,Large,Hyper Local,Chennai
3891000577,Large,Hyper Local,Banglore
5366653014,Small,Hyper Local,New Delhi
8540187780,Large,Finance Lending,Hyderabad
6366816003,Small,Gaming,Hyderabad
3683504527,Medium,Gaming,New Delhi
6774252233,Medium,Finance Lending,Chennai
1298566280,Medium,Gaming,Mumbai
5980553707,Large,AI,Mumbai
8351222782,Large,Finance Lending,Hyderabad
6677954339,Small,Block Chain,New Delhi
3034831019,Medium,Hyper Local,Chennai
5396477027,Medium,Finance Lending,Hyderabad
6955217420,Small,Finance Lending,Chennai
6102589964,Small,Finance Lending,New Delhi
5762095219,Medium,Finance Lending,New Delhi
7896208406,Small,Block Chain,New Delhi
1089413096,Large,Block Chain,Hyderabad
5371694837,Large,AI,New Delhi
1629048404,Small,AI,Chennai
5983139564,Small,Gaming,Banglore
8207710174,Medium,Finance Lending,Hyderabad
7513745319,Small,Hyper Local,Mumbai
3785313879,Small,Block Chain,Mumbai
8004867726,Small,Finance Lending,Hyderabad
9842414729,Small,Hyper Local,Hyderabad
2282502805,Large,Gaming,Hyderabad
5157113076,Medium,Gaming,Banglore
4760390973,Small,Gaming,Chennai
2315920532,Small,Gaming,Chennai
4687291312,Medium,Block Chain,New Delhi
9329180414,Small,Block Chain,Banglore
4194777577,Large,Finance Lending,Chennai
2083869816,Small,Hyper Local,Hyderabad
9626357024,Small,Hyper Local,Mumbai
9752784850,Large,Block Chain,Banglore
4519356806,Small,Gaming,Banglore
7744303708,Medium,Gaming,New Delhi
3185596104,Medium,Gaming,Banglore
2623363792,Large,Hyper Local,Hyderabad
2490056820,Medium,Finance Lending,Chennai
6128700542,Large,Block Chain,Hyderabad
8155233099,Medium,Hyper Local,Mumbai
3146624321,Large,Hyper Local,Hyderabad
9038553168,Medium,Gaming,Mumbai
9159056053,Medium,Gaming,New Delhi
1077708772,Small,Block Chain,Mumbai
4361672518,Small,AI,New Delhi
6751372012,Large,Hyper Local,Mumbai
6209923307,Medium,Gaming,Chennai
