client_id,subscription_type,start_date,end_date,renewed
1131383004,Yearly,2020-11-11,2021-11-11,False
4309371709,Monthly,2021-05-24,2021-06-23,True
3183675157,Yearly,2021-12-25,2022-12-25,True
5371694837,Monthly,2020-03-14,2020-04-13,True
5157113076,Monthly,2019-11-07,2019-12-07,False
7896208406,Yearly,2022-02-24,2023-02-24,True
4687291312,Yearly,2019-06-14,2020-06-13,True
7744303708,Yearly,2022-10-11,2023-10-11,True
6038028440,Yearly,2018-12-03,2019-12-03,True
6955217420,Monthly,2019-07-07,2019-08-06,True
7513745319,Yearly,2020-09-17,2021-09-17,False
6209923307,Monthly,2021-07-05,2021-08-04,True
2083869816,Monthly,2019-05-16,2019-06-15,False
7207890733,Monthly,2020-09-19,2020-10-19,False
4280387012,Yearly,2022-11-25,2023-11-25,True
5980553707,Yearly,2021-08-30,2022-08-30,True
3146624321,Monthly,2022-04-09,2022-05-09,False
4361672518,Monthly,2019-01-24,2019-02-23,False
2096479553,Yearly,2020-01-25,2021-01-24,False
2282502805,Yearly,2021-06-04,2022-06-04,False
9166568761,Monthly,2020-08-14,2020-09-13,False
6597925149,Yearly,2019-12-29,2020-12-28,False
6751372012,Monthly,2018-05-29,2018-06-28,True
5217987067,Monthly,2019-07-19,2019-08-18,True
9085185732,Yearly,2018-05-18,2019-05-18,False
9752784850,Yearly,2021-09-15,2022-09-15,False
5536015034,Monthly,2019-11-15,2019-12-15,True
8155233099,Monthly,2020-06-03,2020-07-03,True
4194777577,Monthly,2021-12-18,2022-01-17,True
9699223737,Yearly,2018-04-03,2019-04-03,True
3785313879,Monthly,2022-06-06,2022-07-06,False
4475229416,Yearly,2019-05-01,2020-04-30,False
6983985081,Monthly,2021-11-15,2021-12-15,False
7462725203,Monthly,2018-05-21,2018-06-20,True
2486393352,Yearly,2021-12-02,2022-12-02,False
5443254615,Yearly,2020-06-25,2021-06-25,True
5396477027,Monthly,2021-02-13,2021-03-15,False
3411013676,Yearly,2022-12-20,2023-12-20,False
2490056820,Monthly,2020-04-04,2020-05-04,True
4760390973,Yearly,2022-01-06,2023-01-06,True
5366653014,Monthly,2020-11-13,2020-12-13,False
8988409533,Yearly,2020-05-15,2021-05-15,True
5762095219,Monthly,2021-06-02,2021-07-02,True
7776577102,Monthly,2020-12-17,2021-01-16,True
6366816003,Monthly,2022-02-17,2022-03-19,True
3325348894,Monthly,2019-07-09,2019-08-08,True
5319487809,Monthly,2019-03-02,2019-04-01,False
5387264885,Monthly,2022-03-06,2022-04-05,True
6296057401,Yearly,2018-07-21,2019-07-21,False
2609337231,Monthly,2020-11-04,2020-12-04,True
4387541014,Monthly,2018-11-08,2018-12-08,False
5421990790,Yearly,2018-07-10,2019-07-10,False
1629048404,Yearly,2021-02-23,2022-02-23,False
3758633299,Monthly,2021-04-24,2021-05-24,True
1731644238,Monthly,2021-07-26,2021-08-25,False
5983139564,Yearly,2020-03-29,2021-03-29,True
6102589964,Monthly,2019-12-30,2020-01-29,False
9031632460,Yearly,2019-07-06,2020-07-05,True
5059906722,Yearly,2018-12-14,2019-12-14,False
2623363792,Yearly,2021-06-28,2022-06-28,False
3185596104,Monthly,2022-11-14,2022-12-14,True
7225516707,Yearly,2021-01-19,2022-01-19,True
1077708772,Yearly,2019-07-06,2020-07-05,False
8351222782,Monthly,2022-02-14,2022-03-16,False
6774252233,Monthly,2018-12-12,2019-01-11,True
3683504527,Monthly,2018-04-12,2018-05-12,True
8207710174,Monthly,2018-12-19,2019-01-18,True
8719792472,Yearly,2018-02-10,2019-02-10,True
8093537819,Monthly,2019-09-14,2019-10-14,False
4343385571,Yearly,2018-11-28,2019-11-28,True
9038553168,Yearly,2019-05-24,2020-05-23,False
1089413096,Monthly,2019-04-21,2019-05-21,True
9329180414,Monthly,2021-06-03,2021-07-03,True
3034831019,Monthly,2022-07-28,2022-08-27,False
2315920532,Monthly,2019-04-01,2019-05-01,True
7501599785,Monthly,2019-03-04,2019-04-03,False
9626357024,Monthly,2022-09-25,2022-10-25,True
3510240337,Yearly,2020-12-07,2021-12-07,True
6827368515,Yearly,2018-06-03,2019-06-03,False
6677954339,Monthly,2022-01-01,2022-01-31,False
3878940490,Monthly,2018-05-23,2018-06-22,False
8884551090,Yearly,2022-09-02,2023-09-02,True
5698091148,Monthly,2020-08-04,2020-09-03,True
4698004907,Monthly,2021-09-11,2021-10-11,False
3891000577,Yearly,2020-08-16,2021-08-16,False
7465144773,Monthly,2021-09-07,2021-10-07,True
2095513148,Monthly,2021-11-03,2021-12-03,False
1298566280,Yearly,2019-09-01,2020-08-31,True
7925430606,Yearly,2022-08-29,2023-08-29,False
8004867726,Monthly,2019-06-16,2019-07-16,True
6292156167,Yearly,2019-09-16,2020-09-15,True
9159056053,Yearly,2022-05-28,2023-05-28,False
6128700542,Yearly,2019-10-11,2020-10-10,False
9842414729,Monthly,2022-11-11,2022-12-11,True
5481743788,Yearly,2020-04-03,2021-04-03,False
4519356806,Monthly,2018-03-04,2018-04-03,True
9714663815,Monthly,2020-11-11,2020-12-11,True
9598980006,Monthly,2019-06-16,2019-07-16,True
3157098196,Monthly,2021-11-11,2021-12-11,True
8540187780,Monthly,2021-02-16,2021-03-18,True
